Ranking,name,address,city,state,zip code,latitude,longitude,tel number,home page
1,Ransom Everglades School,3575 MAIN HIGHWAY,Miami,FL,33133,25.722798,-80.244167,(305) 460-8800,http://ransomeverglades.org
2,Pine Crest School,1501 NE 62nd Street,Fort Lauderdale,FL,33334,26.20505,-80.134516,(561) 852-2800,http://pinecrest.edu
3,Berkeley Preparatory School,4811 Kelly Rd,Tampa,FL,33615,27.990223,-82.563276,(813) 885-1673,http://berkeleyprep.org
4,David Posnack Jewish Day School,5810 S Pine Island Rd,Davie,FL,33328,26.048677,-80.257433,(954) 583-6100,http://posnackschool.org
5,Gulliver Preparatory School,6575 N Kendall Dr,Pinecrest,FL,33156,25.690012,-80.299972,(305) 666-7937,http://gulliverschools.org
6,Palmer Trinity School,7900 SW 176th St,Miami,FL,33157,25.604344,-80.320630,(305) 251-2230,http://palmertrinity.org
7,American Heritage School,12200 W Broward Blvd,Plantation,FL,33325,26.120763,-80.311017,(954) 472-0022,http://ahschool.com
8,Trinity Preparatory School,5700 Trinity Prep Ln,Winter Park,FL,32792,28.612686,-81.272662,(407) 671-4140,http://trinityprep.org
9,Saint Andrew's School,3900 Jog Rd,Boca Raton,FL,33434,26.38357,-80.145519,(561) 210-2000,http://saintandrews.net
10,Carrollton School of the Sacred Heart,3747 Main Hwy,Miami,FL,33133,25.720928,-80.247595,(305) 446-5673,http://carrollton.org
11,American Heritage School - Boca Delray Campus,6200 Linton Blvd,Delray Beach,FL,33484,26.437172,-80.140279,(561) 495-7272,http://ahschool.com
12,The Community School of Naples,13275 Livingston Rd,Naples,FL,34109,26.215391,-81.754411,(239) 597-7575,http://communityschoolnaples.org
13,Shorecrest Preparatory School,5101 1st St NE,St. Petersburg,FL,33703,27.819024,-82.633982,(727) 522-2111,http://shorecrest.org
14,St. Stephen's Episcopal School,315 41st St W,Bradenton,FL,34209,27.49726,-82.601560,(941) 746-2121,http://saintstephens.org
15,The Benjamin School,11000 Ellison Wilson Rd,North Palm Beach,FL,33408,26.838209,-80.063244,(561) 626-3747,http://thebenjaminschool.org
16,Scheck Hillel Community School,19000 NE 25th Ave,North Miami Beach,FL,33180,25.951423,-80.151242,(305) 931-2831,http://ehillel.org
17,Tampa Preparatory School,727 W Cass St,Tampa,FL,33606,27.951231,-82.467047,(813) 251-8481,http://tampaprep.org
18,Lake Highland Preparatory School,901 Highland Ave,Orlando,FL,32803,28.557838,-81.372057,(407) 206-1900,http://lhps.org
19,Jesuit High School,4701 N Himes Ave,Tampa,FL,33614,27.986951,-82.499764,(813) 877-5344,http://jesuittampa.org
20,Oak Hall School,8009 SW 14th Ave,Gainesville,FL,32607,29.638765,-82.427506,(352) 332-3609,http://oakhall.org
21,The Bolles School,7400 San Jose Blvd,Jacksonville,FL,32217,30.241963,-81.629507,(904) 733-9292,http://bolles.org
22,St. Edward's School,1895 St Edwards Dr,Vero Beach ,FL,32963,27.603399,-80.376752,(772) 231-4136,steds.org
23,Canterbury School,8141 College Pkwy,Fort Myers,FL,33919,26.554734,-81.891545,(239) 481-4323,canterburyfortmyers.org
24,NSU University School,3375 SW 75th Ave,Davie,FL,33314,26.079658,-80.246224,(954) 262-4506,uschool.nova.edu
25,North Broward Preparatory School,7600 Lyons Rd,Coconut Creek,FL,33073,26.326499,-80.182375,(954) 247-0011,nbps.org
